participant_id,cond,day_index,block,n_trials,n_correct,n_timeouts,accuracy
S01,P,1,1,100,47,6,47.0
S01,P,1,2,100,56,0,56.0
S01,P,1,3,100,61,0,61.0
S01,P,1,4,100,67,0,67.0
S01,P,1,5,100,63,0,63.0
S01,P,1,6,100,67,0,67.0
S01,P,1,7,100,60,1,60.0
S01,P,1,8,100,59,0,59.0
S01,T,2,1,100,59,0,59.0
S01,T,2,2,100,71,0,71.0
S01,T,2,3,100,62,0,62.0
S01,T,2,4,100,73,1,73.0
S01,T,2,5,100,72,0,72.0
S01,T,2,6,100,64,0,64.0
S01,T,2,7,100,71,0,71.0
S01,T,2,8,100,67,0,67.0
S02,P,1,1,100,57,7,57.0
S02,P,1,2,100,62,3,62.0
S02,P,1,3,100,74,2,74.0
S02,P,1,4,100,72,1,72.0
S02,P,1,5,100,74,0,74.0
S02,P,1,6,100,70,0,70.0
S02,P,1,7,100,71,1,71.0
S02,P,1,8,100,71,0,71.0
S02,T,2,1,100,63,2,63.0
S02,T,2,2,100,80,0,80.0
S02,T,2,3,100,78,1,78.0
S02,T,2,4,100,68,2,68.0
S02,T,2,5,100,70,1,70.0
S02,T,2,6,100,76,1,76.0
S02,T,2,7,100,77,2,77.0
S02,T,2,8,100,86,0,86.0
S03,T,1,1,100,49,9,49.0
S03,T,1,2,100,58,1,58.0
S03,T,1,3,100,45,0,45.0
S03,T,1,4,100,59,0,59.0
S03,T,1,5,100,75,0,75.0
S03,T,1,6,100,62,0,62.0
S03,T,1,7,100,69,0,69.0
S03,T,1,8,100,76,0,76.0
S03,P,2,1,100,69,0,69.0
S03,P,2,2,100,67,0,67.0
S03,P,2,3,100,73,0,73.0
S03,P,2,4,100,75,0,75.0
S03,P,2,5,100,79,0,79.0
S03,P,2,6,100,67,0,67.0
S03,P,2,7,100,66,1,66.0
S03,P,2,8,100,77,0,77.0
S04,T,1,1,100,56,13,56.0
S04,T,1,2,100,63,0,63.0
S04,T,1,3,100,69,1,69.0
S04,T,1,4,100,60,2,60.0
S04,T,1,5,100,56,3,56.0
S04,T,1,6,100,63,4,63.0
S04,T,1,7,100,72,0,72.0
S04,T,1,8,100,75,1,75.0
S04,P,2,1,100,67,0,67.0
S04,P,2,2,100,59,1,59.0
S04,P,2,3,100,62,0,62.0
S04,P,2,4,100,64,0,64.0
S04,P,2,5,100,58,0,58.0
S04,P,2,6,100,69,0,69.0
S04,P,2,7,100,61,1,61.0
S04,P,2,8,100,68,0,68.0
S05,T,1,1,100,66,3,66.0
S05,T,1,2,100,67,2,67.0
S05,T,1,3,100,61,1,61.0
S05,T,1,4,100,74,2,74.0
S05,T,1,5,100,75,0,75.0
S05,T,1,6,100,71,0,71.0
S05,T,1,7,100,80,0,80.0
S05,T,1,8,100,71,1,71.0
S05,P,2,1,100,81,1,81.0
S05,P,2,2,100,85,0,85.0
S05,P,2,3,100,83,0,83.0
S05,P,2,4,100,72,0,72.0
S05,P,2,5,100,84,0,84.0
S05,P,2,6,100,76,0,76.0
S05,P,2,7,100,77,0,77.0
S05,P,2,8,100,85,0,85.0
S06,T,1,1,100,68,4,68.0
S06,T,1,2,100,63,3,63.0
S06,T,1,3,100,65,1,65.0
S06,T,1,4,100,66,1,66.0
S06,T,1,5,100,67,1,67.0
S06,T,1,6,100,66,0,66.0
S06,T,1,7,100,66,0,66.0
S06,T,1,8,100,64,2,64.0
S06,P,2,1,100,73,1,73.0
S06,P,2,2,100,78,0,78.0
S06,P,2,3,100,67,1,67.0
S06,P,2,4,100,67,1,67.0
S06,P,2,5,100,68,2,68.0
S06,P,2,6,100,62,3,62.0
S06,P,2,7,100,68,1,68.0
S06,P,2,8,100,67,0,67.0
S07,T,1,1,100,55,5,55.0
S07,T,1,2,100,64,0,64.0
S07,T,1,3,100,63,0,63.0
S07,T,1,4,100,63,0,63.0
S07,T,1,5,100,60,0,60.0
S07,T,1,6,100,73,0,73.0
S07,T,1,7,100,69,0,69.0
S07,T,1,8,100,62,0,62.0
S07,P,2,1,100,60,0,60.0
S07,P,2,2,100,66,0,66.0
S07,P,2,3,100,63,0,63.0
S07,P,2,4,100,66,0,66.0
S07,P,2,5,100,71,0,71.0
S07,P,2,6,100,66,0,66.0
S07,P,2,7,100,65,1,65.0
S07,P,2,8,100,64,0,64.0
S08,P,1,1,100,46,2,46.0
S08,P,1,2,100,49,0,49.0
S08,P,1,3,100,61,1,61.0
S08,P,1,4,100,67,3,67.0
S08,P,1,5,100,64,0,64.0
S08,P,1,6,100,60,0,60.0
S08,P,1,7,100,68,2,68.0
S08,P,1,8,100,59,2,59.0
S08,T,2,1,100,65,0,65.0
S08,T,2,2,100,69,0,69.0
S08,T,2,3,100,67,0,67.0
S08,T,2,4,100,64,1,64.0
S08,T,2,5,100,58,0,58.0
S08,T,2,6,100,67,0,67.0
S08,T,2,7,100,63,0,63.0
S08,T,2,8,100,51,1,51.0
S09,P,1,1,100,41,4,41.0
S09,P,1,2,100,51,0,51.0
S09,P,1,3,100,52,0,52.0
S09,P,1,4,100,52,0,52.0
S09,P,1,5,100,60,0,60.0
S09,P,1,6,100,64,0,64.0
S09,P,1,7,100,62,0,62.0
S09,P,1,8,100,71,1,71.0
S09,T,2,1,100,64,0,64.0
S09,T,2,2,100,67,0,67.0
S09,T,2,3,100,71,1,71.0
S09,T,2,4,100,71,0,71.0
S09,T,2,5,100,66,1,66.0
S09,T,2,6,100,65,0,65.0
S09,T,2,7,100,70,0,70.0
S09,T,2,8,100,64,0,64.0
S10,T,1,1,100,56,1,56.0
S10,T,1,2,100,48,1,48.0
S10,T,1,3,100,48,0,48.0
S10,T,1,4,100,52,0,52.0
S10,T,1,5,100,61,0,61.0
S10,T,1,6,100,52,2,52.0
S10,T,1,7,100,52,0,52.0
S10,T,1,8,100,56,0,56.0
S10,P,2,1,100,50,0,50.0
S10,P,2,2,100,50,0,50.0
S10,P,2,3,100,50,0,50.0
S10,P,2,4,100,50,0,50.0
S10,P,2,5,100,46,0,46.0
S10,P,2,6,100,55,1,55.0
S10,P,2,7,100,55,0,55.0
S10,P,2,8,100,50,0,50.0
S11,P,1,1,100,36,13,36.0
S11,P,1,2,100,51,5,51.0
S11,P,1,3,100,48,5,48.0
S11,P,1,4,100,42,4,42.0
S11,P,1,5,100,50,2,50.0
S11,P,1,6,100,58,2,58.0
S11,P,1,7,100,47,1,47.0
S11,P,1,8,100,55,2,55.0
S11,T,2,1,100,41,1,41.0
S11,T,2,2,100,54,1,54.0
S11,T,2,3,100,51,2,51.0
S11,T,2,4,100,55,2,55.0
S11,T,2,5,100,62,3,62.0
S11,T,2,6,100,64,1,64.0
S11,T,2,7,100,63,2,63.0
S11,T,2,8,100,58,1,58.0
S12,P,1,1,100,50,1,50.0
S12,P,1,2,100,54,0,54.0
S12,P,1,3,100,51,0,51.0
S12,P,1,4,100,53,1,53.0
S12,P,1,5,100,51,0,51.0
S12,P,1,6,100,59,0,59.0
S12,P,1,7,100,58,0,58.0
S12,P,1,8,100,58,1,58.0
S12,T,2,1,100,53,0,53.0
S12,T,2,2,100,53,0,53.0
S12,T,2,3,100,53,1,53.0
S12,T,2,4,100,58,0,58.0
S12,T,2,5,100,59,1,59.0
S12,T,2,6,100,53,0,53.0
S12,T,2,7,100,48,0,48.0
S12,T,2,8,100,61,1,61.0
